epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,79.4013,0.36376,0.97162,1,0.12481,0.000551962,0.000551962,0.000551962
2,138.112,0.18913,0.96938,1,0.08205,0.00106377,0.00106377,0.00106377
3,177.808,0.14864,0.98506,1,0.05672,0.00153156,0.00153156,0.00153156
4,216.452,0.11235,0.97834,1,0.13849,0.00146896,0.00146896,0.00146896
5,238.81,0.10481,0.98058,1,0.06543,0.00140295,0.00140295,0.00140295
6,260.678,0.08418,0.98133,1,0.05336,0.00133693,0.00133693,0.00133693
7,283.539,0.08339,0.97984,1,0.10346,0.00127092,0.00127092,0.00127092
8,308.498,0.06952,0.97909,1,0.10254,0.00120491,0.00120491,0.00120491
9,334.74,0.06366,0.97834,1,0.07669,0.00113889,0.00113889,0.00113889
10,361.855,0.05811,0.99029,1,0.03151,0.00107288,0.00107288,0.00107288
11,399.13,0.05909,0.96863,1,0.13789,0.00100687,0.00100687,0.00100687
12,424.5,0.04995,0.97535,1,0.11567,0.000940855,0.000940855,0.000940855
13,452.565,0.03641,0.98282,1,0.13555,0.000874842,0.000874842,0.000874842
14,480.569,0.03944,0.97311,1,0.10976,0.000808828,0.000808828,0.000808828
15,510.844,0.03539,0.97834,1,0.08191,0.000742815,0.000742815,0.000742815
16,627.438,0.03162,0.9761,1,0.16183,0.000676802,0.000676802,0.000676802
17,697.29,0.02776,0.98432,1,0.09004,0.000610789,0.000610789,0.000610789
18,741.461,0.02502,0.97909,1,0.09983,0.000544776,0.000544776,0.000544776
19,779.13,0.02616,0.98282,1,0.10708,0.000478762,0.000478762,0.000478762
20,833.085,0.0177,0.97535,1,0.15119,0.000412749,0.000412749,0.000412749
21,906.554,0.02341,0.97834,1,0.11363,0.000346736,0.000346736,0.000346736
22,978.44,0.02193,0.98058,1,0.1004,0.000280723,0.000280723,0.000280723
23,1048.02,0.01756,0.98282,1,0.09694,0.00021471,0.00021471,0.00021471
24,1084.83,0.01668,0.97834,1,0.11665,0.000148696,0.000148696,0.000148696
25,1126,0.01541,0.97834,1,0.10742,8.26832e-05,8.26832e-05,8.26832e-05
